gene,mean_healthy,mean_disease,log2FC,pvalue,cohens_d,FDR
ENSG00000125319,0.7267423131752937,0.5942687246561121,-0.13247358851918156,0.23110308367433507,0.21370335514618818,0.9998566354027545
ENSG00000161664,1.058101014026542,1.1007439333909756,0.04264291936443354,0.6992311617940374,-0.06879271884030685,0.9998566354027545
ENSG00000168591,6.3549864356693515,6.321682825438295,-0.03330361023105688,0.6856220412833058,0.07204559345125716,0.9998566354027545
ENSG00000087152,3.2971455513706895,3.2141765053094757,-0.0829690460612138,0.33198448483237886,0.1739029827179747,0.9998566354027545
ENSG00000108312,5.156674729824147,5.1907319482838155,0.0340572184596688,0.7479764944711378,-0.057214328085468606,0.9998566354027545
ENSG00000004939,1.7050873712751358,1.3672477891931312,-0.3378395820820046,0.07715024126693198,0.31736368090006406,0.9998566354027545
ENSG00000013306,6.980671899194635,6.756662270523624,-0.22400962867101093,0.190345854008156,0.2338871451379276,0.9998566354027545
ENSG00000030582,7.141415311502462,7.0737459546161165,-0.06766935688634579,0.854582557309566,0.03259499069702718,0.9998566354027545
ENSG00000005961,2.011835961901409,1.786802017725115,-0.22503394417629385,0.5856529113868578,0.09700799608819156,0.9998566354027545
ENSG00000186566,6.124339521348659,6.038160184383087,-0.08617933696557234,0.5178923856561068,0.11532372412449415,0.9998566354027545
ENSG00000180336,1.2983671821483667,1.3740201948053548,0.0756530126569881,0.42094200075633015,-0.1435781922869819,0.9998566354027545
ENSG00000180329,4.517265710811587,4.514265819155248,-0.00299989165633896,0.9802835917712452,0.004400040947023632,0.9998566354027545
ENSG00000161692,2.416617771672167,2.526068470594501,0.10945069892233406,0.3313302519821323,-0.17340483141552873,0.9998566354027545
ENSG00000182963,0.9983809231582799,0.9766043410572917,-0.021776582100988207,0.7143137515406126,0.06560109490571762,0.9998566354027545
ENSG00000131097,2.0018039272226504,2.003563914729358,0.0017599875067073611,0.9912854982446595,-0.0019422942768470223,0.9998566354027545
ENSG00000108883,7.11701178889469,6.974860171568621,-0.14215161732606862,0.19408742936240336,0.23172811321304723,0.9998566354027545
ENSG00000131095,2.035916567413335,2.0846784731058214,0.04876190569248662,0.6902558968483756,-0.07101158424306996,0.9998566354027545
ENSG00000186185,0.7824693340138584,0.7457426422453847,-0.03672669176847376,0.6424070530542415,0.08272159894669268,0.9998566354027545
ENSG00000172992,3.8998100779995766,3.9097779419190135,0.009967863919436937,0.9395942057593323,-0.013488524758017876,0.9998566354027545
ENSG00000136448,5.759604719628509,5.799568399309963,0.039963679681453534,0.7250456182653902,-0.06274724389323709,0.9998566354027545
ENSG00000161714,1.1229399792166446,1.2675294731182083,0.14458949390156373,0.06923149104072533,-0.3255084699402228,0.9998566354027545
ENSG00000181513,3.867768898863079,3.9630388782868446,0.0952699794237657,0.5277118046313285,-0.11243658680719233,0.9998566354027545
ENSG00000186834,3.6564521479976637,3.982615783863516,0.3261636358658522,0.0020991255152279153,-0.5575268181034043,0.19322757570771573
ENSG00000168517,2.7952688131217407,2.677141282668202,-0.11812753045353874,0.37627433321352954,0.15797950338316308,0.9998566354027545
ENSG00000184922,5.583509062058214,5.753903863572961,0.17039480151474695,0.20937519197237012,-0.2240543782185645,0.9998566354027545
ENSG00000184361,0.4968552476819517,0.4386348249699442,-0.0582204227120075,0.4901293015167232,0.12284067118405649,0.9998566354027545
ENSG00000006062,4.607642463177006,4.647137877926217,0.03949541474921059,0.7260133516679508,-0.062337906585139526,0.9998566354027545
ENSG00000159314,6.69367361705111,6.629091170084772,-0.0645824469663383,0.6727859622510584,0.07527523302825466,0.9998566354027545
ENSG00000225190,5.14777439998859,5.084053477505834,-0.06372092248275596,0.5657815043791035,0.1022130453193056,0.9998566354027545
