gene_id,mean_healthy,mean_disease,log2fc,pvalue,fdr,significant
ENSG00000117602,4.115041998405853,4.041787622810043,-0.025907285556445104,0.8335835772745327,0.9991161405974711,False
ENSG00000162688,3.3229688885365487,3.3506063075910673,0.01194581561932548,0.833654063332753,0.9991161405974711,False
ENSG00000135776,2.883363311222225,2.853909344412829,-0.014807961725934408,0.8336628017894198,0.9991161405974711,False
ENSG00000069702,4.369037557181287,4.466877234133459,0.031943866130785384,0.8341380131544237,0.9991161405974711,False
ENSG00000143862,2.898789136539639,2.869251458332043,-0.0147708611112885,0.8349261286965699,0.9991161405974711,False
ENSG00000160685,2.8126346181779907,2.7744600057931628,-0.019708086600622097,0.8356962282011753,0.9991161405974711,False
ENSG00000211452,0.8194786659865413,0.7940418500217564,-0.045435017316061185,0.8357709700550998,0.9991161405974711,False
ENSG00000170385,1.693972915469836,1.6628969397109616,-0.026696143241701262,0.8365132433598443,0.9991161405974711,False
ENSG00000162814,2.151375491448362,2.120149424841578,-0.02108352897738707,0.8375179732085372,0.9991161405974711,False
ENSG00000215784,0.3943595212726934,0.3751438796400138,-0.07188055287653293,0.8380605695231096,0.9991161405974711,False
ENSG00000160051,1.9739762103825917,1.9946891125484052,0.015051720485729314,0.8380627568157519,0.9991161405974711,False
ENSG00000163221,1.7455897448846822,1.8358471540852086,0.07269080880183246,0.8385211786379445,0.9991161405974711,False
ENSG00000132879,4.714418044326047,4.756399205573284,0.012787412247663893,0.8385485680019915,0.9991161405974711,False
ENSG00000085552,0.8852974936060443,0.9061081541741606,0.03348353956952283,0.8386383806246566,0.9991161405974711,False
ENSG00000117523,7.4243892189659455,7.403684080492063,-0.004028465591901333,0.8395554022300636,0.9991161405974711,False
ENSG00000197429,3.331641269695541,3.366346711422569,0.014946240690004109,0.8398193160719059,0.9991161405974711,False
ENSG00000162599,2.7900676826323667,2.828527472206684,0.019744034989639208,0.8398375405951741,0.9991161405974711,False
ENSG00000162755,0.8560200393634507,0.8888641184576213,0.05425611580846655,0.8402998893611358,0.9991161405974711,False
ENSG00000168389,1.7592897824977283,1.7000284000881594,-0.04940571961691414,0.8404287284612556,0.9991161405974711,False
ENSG00000116983,1.4280172199662018,1.484955631077773,0.05636773798336806,0.8406426889351889,0.9991161405974711,False
