feature,importance
ENSG00000187862,0.006267662989035532
ENSG00000159164,0.006142958248843989
ENSG00000116701,0.006077882434093441
ENSG00000162366,0.006000010751984751
ENSG00000178922,0.00594225970389792
ENSG00000123836,0.005859363886226977
ENSG00000181036,0.0058284000671262924
ENSG00000159339,0.005803749979667762
ENSG00000163154,0.0057768171252828805
ENSG00000162591,0.005733939407545652
ENSG00000263528,0.005389549406625291
ENSG00000053371,0.0052271419608030415
ENSG00000014914,0.005086824192662312
ENSG00000142634,0.004944542544246757
ENSG00000143333,0.00471528306215598
ENSG00000069702,0.004633453859914939
ENSG00000162408,0.0046166642204130345
ENSG00000177606,0.004478840365961154
ENSG00000133048,0.0044577200257689955
ENSG00000159176,0.004445960339757994
ENSG00000132768,0.0043340277840219436
ENSG00000174175,0.003909918977804623
ENSG00000122406,0.003849950738916257
ENSG00000154027,0.0038140659139537804
ENSG00000204160,0.003743620303249749
ENSG00000116237,0.003737815256864274
ENSG00000155363,0.0035823931285913616
ENSG00000197530,0.00351670962306002
ENSG00000053372,0.0035031047298517332
ENSG00000168389,0.003465470692084241
ENSG00000123684,0.0034421661829416575
ENSG00000168264,0.0033286205944571094
ENSG00000184588,0.0033092506926257386
ENSG00000160789,0.003308995737659371
ENSG00000007968,0.0031400935488877894
ENSG00000122223,0.0028752838653049915
ENSG00000134686,0.0027829920334199827
ENSG00000134698,0.0026284462712923675
ENSG00000117318,0.002547465835210848
ENSG00000085999,0.0024720916333323935
ENSG00000171608,0.001669429120487876
ENSG00000120949,0.0016522634682458169
ENSG00000120334,0.0015833850328343612
ENSG00000116521,0.0015463660379668612
ENSG00000270149,0.0012737951841628025
ENSG00000162594,0.0011072357336386611
ENSG00000058668,0.0010704135584366854
ENSG00000162413,0.0010581044251187547
ENSG00000162772,0.0010128881810296587
ENSG00000122435,0.0009512358597075565
ENSG00000172031,0.0007994737222522891
ENSG00000198574,0.0007514946365575521
ENSG00000162729,0.0006765926443991137
ENSG00000162777,0.0006597291823540895
ENSG00000179163,0.0005950775491616569
ENSG00000162825,0.0005362307360976635
ENSG00000179914,0.000471343184316448
ENSG00000142794,0.0004185658591888164
ENSG00000117408,0.00038650421815149293
